"date","tree_id","tree_sp","tree_cond","symptoms","num_holes","notes","tree_cond_num","burn_status","grouped_date"
2024-12-09,"2381","qudo","excellent","holes",3,NA,4,"unburned",2024-12-01
2024-12-09,"2384","qudo","excellent","holes",3,NA,4,"unburned",2024-12-01
2024-12-09,"2367","qudo","good","holes",3,NA,3,"unburned",2024-12-01
2024-12-09,"2365","qudo","fair","holes, galleries",15,NA,2,"unburned",2024-12-01
2024-12-09,"2369","qudo","fair","holes",15,NA,2,"unburned",2024-12-01
2024-12-09,"2366","qudo","good","none",0,NA,3,"unburned",2024-12-01
2024-12-09,"2364","qudo","good","holes",25,NA,3,"unburned",2024-12-01
2024-12-09,"2363","qudo","good","holes",0,NA,3,"unburned",2024-12-01
2024-12-09,"2362","qudo","fair","holes",25,NA,2,"unburned",2024-12-01
2024-12-09,"2370","qudo","excellent","holes",15,NA,4,"unburned",2024-12-01
2024-12-09,"2371","qudo","good","holes",15,NA,3,"unburned",2024-12-01
2024-12-09,"2372","qudo","good","holes",3,NA,3,"unburned",2024-12-01
2024-12-09,"2345","quag","excellent","holes, galleries",15,NA,4,"unburned",2024-12-01
2024-12-09,"2383","qudo","good","holes",3,NA,3,"unburned",2024-12-01
2024-12-09,"2010","qudo","good","holes, fungus, wet stain",15,NA,3,"unburned",2024-12-01
2024-12-09,"32?","qudo","fair","none",0,NA,2,"unburned",2024-12-01
2024-12-09,"2352","quag","excellent","none",0,NA,4,"unburned",2024-12-01
2024-12-09,"2353","quag","good","holes",3,NA,3,"unburned",2024-12-01
2024-12-09,"2355","qudo","good","none",0,NA,3,"unburned",2024-12-01
2024-12-09,"2354","quag","excellent","holes, pitch tube?",3,NA,4,"unburned",2024-12-01
2024-12-09,"2373","qudo","good","none",0,NA,3,"unburned",2024-12-01
2024-12-09,"2305","qudo","good","holes",3,NA,3,"unburned",2024-12-01
2024-12-09,"2304","qudo","good","none",0,"black spots, see pic",3,"unburned",2024-12-01
2024-12-09,"2303","qudo","good","none",0,"poss. holes higher up",3,"unburned",2024-12-01
2024-12-09,"2301","quag","good","holes",3,NA,3,"unburned",2024-12-01
2024-12-09,"2306","qudo","good","holes",7.5,NA,3,"unburned",2024-12-01
2024-12-09,"2307","quag","good","holes",15,NA,3,"unburned",2024-12-01
2024-12-09,"2308","qudo","fair","holes, galleries",3,NA,2,"unburned",2024-12-01
2025-01-16,"2010","qudo","excellent","hole",3,NA,4,"unburned",2025-01-16
2025-01-16,"2011","qudo","excellent","none",0,NA,4,"unburned",2025-01-16
2025-01-16,"2370","qudo","good","holes, peeled bark/staining",15,"see pic",3,"unburned",2025-01-16
2025-01-16,"2371","qudo","good","peeling bark/stains",0,NA,3,"unburned",2025-01-16
2025-01-16,"2372","qudo","good","none",0,NA,3,"unburned",2025-01-16
2025-01-16,"2308","qudo","fair","black goo",0,NA,2,"unburned",2025-01-16
