"date","tree_id","tree_sp","tree_cond","symptoms","num_holes","notes","tree_cond_num","burn_status","grouped_date"
2024-12-09,"2345","quag","excellent","holes, galleries",15,NA,4,"unburned",2024-12-01
2024-12-09,"2352","quag","excellent","none",0,NA,4,"unburned",2024-12-01
2024-12-09,"2353","quag","good","holes",3,NA,3,"unburned",2024-12-01
2024-12-09,"2354","quag","excellent","holes, pitch tube?",3,NA,4,"unburned",2024-12-01
2024-12-09,"2301","quag","good","holes",3,NA,3,"unburned",2024-12-01
2024-12-09,"2307","quag","good","holes",15,NA,3,"unburned",2024-12-01
2025-01-16,"2301","quag","good","holes",3,NA,3,"unburned",2025-01-16
2025-01-16,"2345","quag","excellent","holes",7.5,NA,4,"unburned",2025-01-16
2025-03-04,"2353","quag","good","holes",7.5,NA,3,"unburned",2025-03-04
2025-03-04,"2354","quag","good","holes, fungus",35,NA,3,"unburned",2025-03-04
2025-03-04,"2301","quag","good","holes",3,NA,3,"unburned",2025-03-04
2025-03-04,"2345","quag","excellent","holes",50,NA,4,"unburned",2025-03-04
2025-04-12,"2301","quag","good","holes",3,NA,3,"unburned",2025-04-12
2024-12-09,"121","quag","excellent","holes, fungis",3,"see pic",4,"unburned",2024-12-01
2024-12-09,"127","quag","good","none",0,NA,3,"unburned",2024-12-01
2024-12-09,"100","quag","good","holes",3,NA,3,"unburned",2024-12-01
2024-12-09,"104","quag","good","none",0,NA,3,"unburned",2024-12-01
2024-12-09,"102","quag","excellent","none",0,NA,4,"unburned",2024-12-01
2024-12-09,"103","quag","good","holes",3,NA,3,"unburned",2024-12-01
2024-12-09,"110","quag","fair","holes",3,NA,2,"unburned",2024-12-01
2024-12-09,"115","quag","fair","holes",3,NA,2,"unburned",2024-12-01
2024-12-09,"116","quag","fair","holes",7.5,NA,2,"unburned",2024-12-01
2024-12-09,"114","quag","fair","holes, wet stain",25,NA,2,"unburned",2024-12-01
2024-12-09,"134","quag","good","none",0,NA,3,"unburned",2024-12-01
2024-12-09,"131","quag","good","holes, boring dust",25,NA,3,"unburned",2024-12-01
2024-12-09,"132","quag","good","holes",3,NA,3,"unburned",2024-12-01
2024-12-09,"112","quag","excellent","none",0,NA,4,"unburned",2024-12-01
2024-12-09,"110","quag","excellent","none",0,NA,4,"unburned",2024-12-01
2025-01-16,"101","quag","fair","holes",45,NA,2,"unburned",2025-01-16
2025-01-16,"102","quag","good","none",0,NA,3,"unburned",2025-01-16
2025-01-16,"103","quag","excellent","wet staining",0,NA,4,"unburned",2025-01-16
2025-01-16,"104","quag","fair","holes",3,NA,2,"unburned",2025-01-16
2025-01-16,"100","quag","good","holes",3,NA,3,"unburned",2025-01-16
2025-01-16,"110","quag","good","holes",7.5,NA,3,"unburned",2025-01-16
2025-01-16,"109","quag","good","none",0,NA,3,"unburned",2025-01-16
2025-01-16,"116","quag","good","holes",3,NA,3,"unburned",2025-01-16
2025-01-16,"115","quag","fair","holes",7.5,NA,2,"unburned",2025-01-16
2025-01-16,"121","quag","excellent","none",0,NA,4,"unburned",2025-01-16
2025-01-16,"126","quag","excellent","none",0,NA,4,"unburned",2025-01-16
2025-01-16,"127","quag","good","none",0,NA,3,"unburned",2025-01-16
2025-01-16,"99","quag","poor","holes, galleries",35,NA,1,"unburned",2025-01-16
2025-01-16,"131","quag","excellent","holes",7.5,NA,4,"unburned",2025-01-16
2025-01-16,"132","quag","excellent","none",0,NA,4,"unburned",2025-01-16
2025-01-16,"134","quag","excellent","none",0,NA,4,"unburned",2025-01-16
2025-01-16,"112","quag","excellent","none",0,NA,4,"unburned",2025-01-16
2025-03-04,"535","quag","fair","holes, fungus",15,NA,2,"unburned",2025-03-04
2025-03-04,"533/532","quag","fair","fungus, wet stain, holes",7.5,NA,2,"unburned",2025-03-04
2025-03-04,"121","quag","good","holes, fungus",15,NA,3,"unburned",2025-03-04
2025-03-04,"127","quag","good","none",0,NA,3,"unburned",2025-03-04
2025-03-04,"134","quag","excellent","none",0,NA,4,"unburned",2025-03-04
2025-03-04,"131","quag","excellent","holes",3,NA,4,"unburned",2025-03-04
2025-03-04,"132","quag","good","fungus",0,NA,3,"unburned",2025-03-04
2025-03-04,"115","quag","fair","holes,",7.5,NA,2,"unburned",2025-03-04
2025-03-04,"114","quag","fair","holes, galleries, fungus",35,NA,2,"unburned",2025-03-04
2025-03-04,"95","quag","good","holes",7.5,NA,3,"unburned",2025-03-04
2025-03-04,"101","quag","good","holes",15,NA,3,"unburned",2025-03-04
2025-03-04,"102","quag","good","holes, galleries",15,NA,3,"unburned",2025-03-04
2025-03-04,"103","quag","good","holes",7.5,NA,3,"unburned",2025-03-04
2025-03-04,"104","quag","good","holes",3,NA,3,"unburned",2025-03-04
2025-03-04,"100","quag","good","holes",7.5,NA,3,"unburned",2025-03-04
2025-03-04,"112","quag","good","holes",3,NA,3,"unburned",2025-03-04
2025-03-04,"116","quag","fair","holes",15,NA,2,"unburned",2025-03-04
2025-03-04,"113","quag","poor","holes",7.5,NA,1,"unburned",2025-03-04
2025-03-04,"109","quag","good","holes, fungus",7.5,NA,3,"unburned",2025-03-04
2025-03-04,"110","quag","good","holes",15,NA,3,"unburned",2025-03-04
2025-04-12,"121","quag","excellent","holes",3,NA,4,"unburned",2025-04-12
2025-04-12,"127","quag","good","none",0,NA,3,"unburned",2025-04-12
2025-04-12,"134","quag","excellent","none",0,NA,4,"unburned",2025-04-12
2025-04-12,"131","quag","excellent","holes, fungus",7.5,NA,4,"unburned",2025-04-12
2025-04-12,"132","quag","good","holes",3,NA,3,"unburned",2025-04-12
2025-04-12,"116","quag","good","holes, fungus",7.5,NA,3,"unburned",2025-04-12
2025-04-12,"115","quag","good","hole, fungus",3,NA,3,"unburned",2025-04-12
2025-04-12,"114","quag","good","holes, fungus, galleries",25,NA,3,"unburned",2025-04-12
2025-04-12,"109","quag","good","none",0,NA,3,"unburned",2025-04-12
2025-04-12,"110","quag","excellent","none",0,NA,4,"unburned",2025-04-12
2025-04-12,"103","quag","excellent","fungus (black staining)",0,NA,4,"unburned",2025-04-12
2025-04-12,"102","quag","good","holes? ( see pic)",3,NA,3,"unburned",2025-04-12
2025-04-12,"101","quag","excellent","holes",7.5,NA,4,"unburned",2025-04-12
2025-04-12,"100","quag","good","none",0,NA,3,"unburned",2025-04-12
2025-05-20,"121","quag","good","holes, fungus",7.5,NA,3,"unburned",2025-05-25
2025-05-20,"127","quag","good","none",0,NA,3,"unburned",2025-05-25
2025-05-20,"95","quag","good","holes, fungus",3,NA,3,"unburned",2025-05-25
2025-05-20,"101","quag","good","holes, fungus, bore dust",50,NA,3,"unburned",2025-05-25
2025-05-20,"102","quag","good","fungus",0,NA,3,"unburned",2025-05-25
2025-05-20,"103","quag","good","fungus",0,NA,3,"unburned",2025-05-25
2025-05-20,"104","quag","good","fungus",0,NA,3,"unburned",2025-05-25
2025-05-20,"100","quag","good","holes, fungus",3,NA,3,"unburned",2025-05-25
2025-05-20,"109","quag","good","fungus",0,NA,3,"unburned",2025-05-25
2025-05-20,"110","quag","good","holes",7.5,NA,3,"unburned",2025-05-25
2025-05-20,"115","quag","fair","holes, fungus",7.5,NA,2,"unburned",2025-05-25
2025-05-20,"114","quag","fair","holes, fungus, galleries",50,NA,2,"unburned",2025-05-25
2025-05-20,"113","quag","good","none",0,NA,3,"unburned",2025-05-25
2025-05-20,"112","quag","good","fungus, holes",7.5,NA,3,"unburned",2025-05-25
2025-05-20,"131","quag","good","holes, fungus",15,NA,3,"unburned",2025-05-25
2025-05-20,"132","quag","good","none",0,NA,3,"unburned",2025-05-25
2025-05-20,"134","quag","excellent","none)",0,NA,4,"unburned",2025-05-25
