 ,tree_id,tree_sp,tree_cond,symptoms,num_holes,notes
11/20,86,quag,fair,holes,30-40,
11/20,84,quag,fair,holes,50-60,
11/20,"66, 83, 82",quag,good,none,0,branches labelled differently
11/20,535,quag,fair,"holes, fungus",,
11/20,65,quag,good,none,0,
11/20,67,qudo,good,holes,5-10,
11/20,81,qudo,poor,holes,1-5,
11/20,80,qudo,fair,"holes, fungus",5-10,scorched base
11/20,79,quag,good,holes,10-20,
11/20,78,quag,good,"holes, fungus",20-30,
11/20,77,quag,good,holes,20-30,
11/20,76,quag,poor,"holes, galleries",50-60,"20-30 on base, up to 100 on dead branch"
11/20,72,quag,fair,"holes, galleries",50-60,
11/20,74,quag,,"holes, fungus",1-5,
11/20,73,quag,,none,0,
11/20,75,qudo,fair,"holes, galleries, fungus",,
11/20,532,quag,poor,"holes, wet stain",10-20,
11/20,534,quag,fair,"holes, fungus",20-30,see pic
11/20,69,qudo,poor,holes,20-30,
11/20,70,quag,fair,holes,1-5,
11/20,68,quag,good,holes,10-20,
11/20,85,qudo,excelent,none,0,
12/9,93,qudo,poor,none,0,
12/9,675,qudo,fair,holes,1-5,
12/9,119,qudo,good,none,0,
12/9,120,qudo,good,holes,1-5,
12/9,121,quag,excelent,"holes, fungis",1-5,see pic
12/9,122,qudo,excelent,none,0,
12/9,127,quag,good,none,0,
12/9,99,qudo,poor,"holes, galleries",20-30,
12/9,100,quag,good,holes,1-5,
12/9,104,quag,good,none,0,
12/9,102,quag,excelent,none,0,
12/9,103,quag,good,holes,1-5,
12/9,110,quag,fair,holes,1-5,
12/9,115,quag,fair,holes,1-5,
12/9,116,quag,fair,holes,5-10,
12/9,114,quag,fair,"holes, wet stain",20-30,
12/9,137,qudo,excelent,none,0,
12/9,117,qudo,good,holes,1-5,
12/9,139,qudo,poor,"holes, galleries, fungus",40-50,see pic
12/9,140,qudo,fair,none,0,
12/9,141,qudo,fair,holes,1-5,
12/9,126,qudo,excelent,none,0,
